timestamps,X,Y,Z
1751533954.843,-0.209,1.316,0.389
1751533954.843,-0.269,1.353,0.434
1751533954.903,-0.351,1.338,0.359
1751533954.903,-0.254,1.361,0.366
1751533954.903,-0.194,1.331,0.404
1751533954.963,-0.277,1.368,0.404
1751533954.963,-0.277,1.323,0.471
1751533954.963,-0.351,1.368,0.381
1751533955.012,-0.262,1.368,0.434
1751533955.012,-0.217,1.286,0.404
1751533955.012,-0.179,1.346,0.411
1751533955.068,-0.209,1.293,0.381
